Image File,State,Plate Number,Reg_Month,Reg_Month_Status,Reg_Year,Reg_Year_Status,Top Banner/Slogan Text,Commemorative Text,Left/Corner Emblem Text,Plate Background Description,Desc_Length,Plate Style,Screw_Count,Image Orientation,Width_px,Height_px
ak399.png,ALASKA,FGJ235,1.0,Known,2010.0,Known,ALASKA,CELEBRATING STATEHOOD 1959 - 2009,ALASKA 50,Yellow top fading to white/blue bottom with mountain/sky gradient,65,Standard passenger vehicle plate,4.0,Landscape,,
ak721.png,ALASKA,FHG521,,Not visible,,Not visible,ALASKA,CELEBRATING STATEHOOD 1959 - 2009,ALASKA 50,Yellow top fading to white/light-blue bottom with mountain silhouette gradient,78,Standard passenger vehicle plate,2.0,Landscape,317.0,153.0
ak848.png,ALASKA,FPJ331,5.0,Known,2010.0,Known,ALASKA,CELEBRATING STATEHOOD 1959 - 2009,ALASKA 50,Yellow top fading into orange wave/horizon shape at bottom,58,Standard passenger vehicle plate,4.0,Landscape,320.0,153.0
ak1165.png,ALASKA,FUW999,2.0,Known,2011.0,Known,ALASKA,CELEBRATING STATEHOOD 1959 - 2009,ALASKA 50,Yellow top fading to orange/red sunset gradient with mountain range silhouette at bottom,88,Standard passenger vehicle plate,2.0,Landscape,320.0,156.0
al47.png,ALABAMA,2A9043J,3.0,Known,2005.0,Known,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text; small county code bottom right (not fully legible),116,Standard passenger vehicle plate,2.0,Landscape,320.0,161.0
al145.png,ALABAMA,47A8D4C,11.0,Known,2006.0,Known,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text; small county code bottom right (not fully legible),116,Standard passenger vehicle plate,2.0,Landscape,320.0,158.0
al1156.png,ALABAMA,6A5730A,7.0,Known,2002.0,Known,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text; small county code bottom right (not fully legible),116,Standard passenger vehicle plate,2.0,Landscape,320.0,159.0
al1181.png,ALABAMA,26A178N,4.0,Known,2003.0,Known,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text; small county code bottom right (not fully legible),116,Standard passenger vehicle plate,2.0,Landscape,320.0,155.0
al1204.png,ALABAMA,9A9990A,7.0,Known,2002.0,Known,OBJECTS FROM OUTER SPACE FELL ON (novelty slogan variant),N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text; image cropped at edges,88,Standard passenger vehicle plate (novelty slogan variant),,Landscape,280.0,135.0
al1247.png,ALABAMA,47A434F,,Not visible,,Not visible,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text,64,Standard passenger vehicle plate,2.0,Landscape,320.0,152.0
al1259.png,ALABAMA,KAA20C,,Not visible,,Not visible,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text,64,Standard passenger vehicle plate,2.0,Landscape,320.0,159.0
al1528.png,ALABAMA,1G3296B,11.0,Known,2006.0,Known,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text,64,Standard passenger vehicle plate,2.0,Landscape,320.0,157.0
al1662.png,ALABAMA,2A3633A,6.0,Known,2003.0,Known,STARS FELL ON,N/A (small heart symbol icon only),,White plate with blue starred banner across top; red serial text,64,Standard passenger vehicle plate,2.0,Landscape,320.0,158.0
ar127.png,ARKANSAS,991LNJ,1.0,Known,2008.0,Known,The Natural State,,"Faint diamond watermark graphic (center, Crater of Diamonds motif)",Light blue gradient background with red 'Arkansas' script wordmark and faint diamond watermark,94,Standard passenger vehicle plate,4.0,Landscape,320.0,158.0
ar285.png,ARKANSAS,514KZE,6.0,Known,2007.0,Known,The Natural State,,Faint diamond watermark graphic (center),Pale blue/white gradient background with red 'Arkansas' script wordmark,71,Standard passenger vehicle plate,4.0,Landscape,320.0,154.0
ar477.png,ARKANSAS,133IIS,2.0,Known,2005.0,Known,The Natural State,,No visible watermark graphic,Plain white background with dark blue 'Arkansas' script wordmark,64,Standard passenger vehicle plate,,Landscape,291.0,145.0
ar480.png,ARKANSAS,094NKC,8.0,Known,2010.0,Known,The Natural State,,Faint diamond watermark graphic (center),Light blue gradient background with dark red 'Arkansas' script wordmark,71,Standard passenger vehicle plate,4.0,Landscape,320.0,156.0
ar624.png,ARKANSAS,ANYTEXT,,N/A - Specimen/No sticker,,N/A - Specimen/No sticker,The Natural State,,"Large diamond graphic (center, Crater of Diamonds motif)",Blue gradient background with dark red 'Arkansas' script wordmark; placeholder 'ANY TEXT' serial,96,Sample/specimen dealer display plate (customizable placeholder text),,Landscape,320.0,160.0
ar726.png,ARKANSAS,324AZY,5.0,Known,1998.0,Known,The Natural State,,No clearly visible watermark (low resolution),Plain white/pale background with dark red 'Arkansas' script wordmark,68,Standard passenger vehicle plate,,Landscape,249.0,121.0
ar785.png,ARKANSAS,050LRR,2.0,Known,2008.0,Known,"God hates you and wants you dead (novelty/altered slogan, replaces official state motto)",,Faint diamond watermark graphic (center),Pale blue gradient background with dark red 'Arkansas' script wordmark,70,Novelty/altered-slogan passenger plate (non-standard replacement of official motto),,Landscape,320.0,155.0
ar800.png,ARKANSAS,520MRK,1.0,Known,2011.0,Known,The Natural State,,"Faint diamond watermark graphic (center, low resolution)",Pale blue/white background with dark red 'Arkansas' script wordmark,67,Standard passenger vehicle plate,,Landscape,158.0,78.0
ar810.png,ARKANSAS,NOX226,,Not visible,,Not visible,BS & O (specialty/organization designation - abbreviation not otherwise identifiable),,No watermark graphic,Plain white background with blue 'Arkansas' script wordmark and red serial text,79,Specialty/organization plate,4.0,Landscape,320.0,156.0
ar834.png,ARKANSAS,4HAAAC,,Not visible,,Not visible,4-H Develops Arkansas Youth,4-H program plate,Green four-leaf clover ('4-H') emblems (top corners); small 'UA' Cooperative Extension logo (bottom left),White background with green 'Arkansas' wordmark and green/white color scheme,76,4-H specialty/organization plate,,Landscape,278.0,135.0
ar867.png,ARKANSAS,357HPB,6.0,Known,2004.0,Known,The Natural State,,Faint diamond watermark graphic (center),Pale blue gradient background with dark red 'Arkansas' script wordmark,70,Standard passenger vehicle plate,,Landscape,320.0,158.0
ar883.png,ARKANSAS,087LAN,,Partially legible,2008.0,Known,The Natural State,,Not clearly visible (image cropped/small),Pale blue/white background with dark blue 'Arkansas' script wordmark,68,Standard passenger vehicle plate,,Landscape,171.0,84.0
ar1097.png,ARKANSAS,UNI,,Not visible,,Not visible,Land of Opportunity (older Arkansas state motto design),,No watermark graphic,White background with blue script 'Arkansas' wordmark and red serial text,73,Standard passenger vehicle plate (older 'Land of Opportunity' slogan design),,Landscape,314.0,152.0
ar1487.png,ARKANSAS,NOX218,,Not visible,,Not visible,BS & O (specialty/organization designation - abbreviation not otherwise identifiable),,No watermark graphic,Plain white background with blue 'Arkansas' script wordmark and red serial text,79,Specialty/organization plate,4.0,Landscape,320.0,162.0
az102.png,ARIZONA,AGB7548,,Partially legible,2013.0,Known,GRAND CANYON STATE,,No emblem icons,"Sky-blue-to-tan gradient background with saguaro cactus and mountain silhouette graphic (partially visible, cropped)",116,Standard passenger vehicle plate,,Landscape,160.0,75.0
az158.png,ARIZONA,FSM4EVR,2.0,Known,2010.0,Known,GRAND CANYON STATE,,No emblem icons,Teal-to-tan gradient background with saguaro cactus and purple mountain silhouette graphic,90,Standard passenger vehicle plate,4.0,Landscape,320.0,152.0
az381.png,ARIZONA,919RMW,,Not visible,,Not visible,GRAND CANYON STATE,,No emblem icons,Red/orange desert sunset gradient background with saguaro cactus silhouettes,76,Standard passenger vehicle plate,4.0,Landscape,320.0,156.0
az443.png,ARIZONA,AST3087,10.0,Known,2013.0,Known,GRAND CANYON STATE,,No emblem icons,Purple-to-yellow desert gradient background with saguaro cactus and mountain silhouette graphic,95,Standard passenger vehicle plate,4.0,Landscape,320.0,152.0
az589.png,ARIZONA,W16627,,N/A - Specimen/No sticker,,N/A - Specimen/No sticker,GRAND CANYON STATE,,No emblem icons,Purple mountain silhouette dusk gradient background with saguaro cactus,71,Standard passenger vehicle plate (permanent registration),4.0,Landscape,320.0,158.0
az758.png,ARIZONA,BUKTLST,5.0,Known,2010.0,Known,GRAND CANYON STATE,,No emblem icons,Pink/purple dusk mountain gradient background with saguaro cactus silhouette,76,Standard passenger vehicle plate,4.0,Landscape,320.0,161.0
az808.png,ARIZONA,100AAA,2.0,Known,2004.0,Known,GRAND CANYON STATE,,No emblem icons,Purple/orange desert twilight gradient background with saguaro cactus and mountain silhouette,93,Standard passenger vehicle plate,4.0,Landscape,320.0,157.0
az837.png,ARIZONA,752ARM,,Partially legible,2010.0,Known,GRAND CANYON STATE,,No emblem icons,Teal/purple desert gradient background with saguaro cactus and mountain silhouette,82,Standard passenger vehicle plate,4.0,Landscape,320.0,155.0
az943.png,ARIZONA,CUNAZ,,Not visible,,Not visible,GRAND CANYON STATE,,Decorative saguaro cactus icons used as word separators in serial text,Purple/orange desert twilight gradient background with mountain silhouette,74,Standard passenger vehicle plate (personalized),4.0,Landscape,320.0,153.0
az1001.png,ARIZONA,176NWN,5.0,Known,2005.0,Known,GRAND CANYON STATE,,No emblem icons,Purple mountain silhouette gradient background with saguaro cactus,66,Standard passenger vehicle plate,4.0,Landscape,320.0,160.0
az1193.png,ARIZONA,4YA411,,Not visible,,Not visible,"We Put the AZ in NAZI (novelty/offensive slogan referencing Nazism, replaces official 'Grand Canyon State' tagline)",,No emblem icons,Purple desert gradient background with saguaro cactus silhouette,64,"Novelty/altered-slogan passenger plate (non-standard, extremist-referencing text)",,Landscape,296.0,148.0
az1429.png,ARIZONA,IM4REAL,9.0,Known,2013.0,Known,GRAND CANYON STATE,,No emblem icons,Pink/purple mountain gradient background with saguaro cactus silhouette,71,Standard passenger vehicle plate,,Landscape,320.0,146.0
